Transaction Number,Fuel Quantity,Gross Price,Full Address,Date & Time,Fuel Type,Site Name,Site ID,VIN,Vehicle ID
210,19.763,3.26,"43205 OH,  Columbus, 3603 Forest Creek pkwy, ",2024-10-02 10:54:45,propane,Bucky's,bwxww,XAI7VEV1U9H2GX49K,62311381
214,34.25,2.82,"43221 OH,  Columbus, 2555 Miller Lane, ",2024-10-02 09:24:22,ethanol,Flying J,84448,D26JTTZ1ZYT9O1ATN,34614161
261,50.831,3.97,"43214 OH,  Columbus, 7393 Kellogg Ave, ",2024-10-02 07:15:57,gas,Marathon,ffeee,CLF69OBYOW59BO39H,87365611
276,25.29,1.95,"43206 OH,  Columbus, 5116 Beech Ave, ",2024-10-02 12:06:42,methanol,Sunoco,36001,IXT5LIDQL7YLK0IAY,51133161
278,46.2112,3.79,"43279 OH,  Columbus, 5478 Royal Oak Road, ",2024-10-02 10:48:28,lng,WalMart,dddlg,X0BS9JSZ1IU21DFM7,11111116
288,12.0104,2.07,"43227 OH,  Columbus, 9260 8-Mile pkwy, ",2024-10-02 03:41:23,ethanol,Love's,bbcdt,OMVW2A52PGKNGUVVC,51626716
299,15.684,2.11,"43291 OH,  Columbus, 8605 Dutch Elm Str, ",2024-10-02 06:43:23,liquid natural gas,Sunoco,22001,Y5JTGV4FK30M9OURN,21567182
309,53.5279,2.72,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 03:21:56,ethanol,Bucky's,awwwy,OTSILXJFZAJVLNRFJ,37635211
339,39.17,3.60,"43279 OH,  Columbus, 5478 Royal Oak Road, ",2024-10-02 11:32:14,liquid natural gas,WalMart,dddlg,ALQRL7295W3DOBJMB,17111111
345,30.21078,3.63,"43279 OH,  Columbus, 8636 Clifton Parkwy, ",2024-10-02 03:18:31,kerosene,Love's,bcdcp,US9U5882K9JDZMJK7,55441667
383,33.05728,3.96,"43206 OH,  Columbus, 5116 Beech Ave, ",2024-10-02 09:08:13,propane,Sunoco,36001,SLQR0ZPCCCQWN9BR9,75275621
408,44.99,3.77,"43232 OH,  Columbus, 7343 Pretzel Str, ",2024-10-02 09:10:07,propane,WalMart,dldde,XF7F386JSJYXVT09B,13771131
420,35.82,3.16,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 03:44:00,liquified natural gas,Love's,ebcjc,UMIIOB4JR95YQGL0G,11111881
484,26.78,3.81,"43218 OH,  Columbus, 8509 Beechmont Parkwy, ",2024-10-02 12:08:47,propane,Love's,bcdyc,49Q2I1QNNMATX1KCZ,31213141
507,19.48596,3.23,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 03:33:22,gas,Bucky's,vxxwx,MYWE62XZL1IDOK4NV,38321262
566,43.16748,3.38,"43203 OH,  Columbus, 8216 Coyote Road, ",2024-10-02 04:36:20,liquefied natural gas,WalMart,hgdjg,NT6ACRF3ITHVVPZGU,61381551
582,32.8635,2.07,"43279 OH,  Columbus, 8636 Clifton Parkwy, ",2024-10-02 12:49:16,liquefied natural gas,Love's,bcdcp,4JV6ELJUCVYZ8SQ6J,13111117
593,33.00323,3.72,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 12:42:08,kerosene,Love's,bcdch,YKZ9N6Q9620N7BJB4,15113127
596,32.64,3.90,"43224 OH,  Columbus, 435 Elon St, ",2024-10-02 03:00:27,ethanol,Marathon,eefgg,TOVS66LE77R08BZZQ,31873474
600,54.52809,3.43,"43215 OH,  Columbus, 4250 SR 125 Parkwy, ",2024-10-02 07:00:09,liquified natural gas,WalMart,edhmd,P58FRVABKG23DXUJ9,64187776
601,20.4367,2.20,"43220 OH,  Columbus, 6263 Alabatross Ave, ",2024-10-02 03:27:14,liquefied natural gas,Sunoco,46801,TXCOEH8CJYYHQHP0A,88281111
614,35.56421,3.56,"43221 OH,  Columbus, 3195 Fox Str, ",2024-10-02 11:11:22,liquid natural gas,WalMart,ddkdd,QBPR7Q9RM43CA0L5V,47615414
700,34.47,3.24,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 07:10:53,propane,Sunoco,12600,CACQ3BFEDPTX0EF6Z,35415678
719,4.451,4.04,"43215 OH,  Columbus, 4250 SR 125 Parkwy, ",2024-10-02 09:16:46,ethanol,WalMart,edhmd,B8F2CI7Q1E19482ML,77332441
736,2.82,3.42,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 08:40:05,liquified natural gas,Love's,bcdch,PQI4G8ZZJXUIDVBLY,21111111
750,32.13,3.31,"43214 OH,  Columbus, 7393 Kellogg Ave, ",2024-10-02 03:30:15,liquified natural gas,Marathon,ffeee,9DNG1MZ47E3UJQ9EP,11141163
751,5.90129,1.94,"43211 OH,  Columbus, 8133 Lindenwood Parkway, ",2024-10-02 08:47:56,LNG,Marathon,eeege,XAI7VEV1U9H2GX49K,62311381
771,27.206,2.46,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 08:49:02,LNG,Love's,bcdch,VVL1KDIR95Q46HHL9,11117181
773,54.65,1.91,"43251 OH,  Columbus, 3548 Second pkwy, ",2024-10-02 09:39:18,lng,Marathon,egggf,QIA2YNJ4ENVN9Z40I,17516111
787,38.74,3.81,"43201 OH,  Columbus, 1082 Brandonmere Str, ",2024-10-02 10:49:13,liquid natural gas,Bucky's,sxwyx,Q6FHL0YS3F02B09ON,51122111
792,19.819,2.22,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 05:50:36,diesel,Love's,bcdch,XXF41PXLQHPBJL7Y4,51111111
793,3.674,3.42,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 04:00:52,gas,Love's,bcdch,GKWBHZPRCFMOORRN4,12841682
816,45.154,2.36,"43221 OH,  Columbus, 2130 Forest Creek St, ",2024-10-02 12:30:28,biodiesel,Love's,hbcde,KRJ3FYH7YK6Y3Q40L,71111113
823,23.17532,2.53,"43218 OH,  Columbus, 8509 Beechmont Parkwy, ",2024-10-02 09:22:22,diesel,Love's,bcdyc,JVAE6ZC5RKBZWJLKO,82552173
881,53.28,3.39,"43201 OH,  Columbus, 233 Clifton Lane, ",2024-10-02 09:56:32,lng,Love's,bbccp,PKN2ALYYP6KA4HWT9,11111211
908,28.1759,2.15,"43272 OH,  Columbus, 4280 Pretzel St, ",2024-10-02 10:17:30,methanol,Sunoco,12011,0F4D2OH2TRW331L0I,11146127
919,18.4457,2.39,"43265 OH,  Columbus, 3232 Sunrise pkwy, ",2024-10-02 07:05:18,lng,Sunoco,12010,PJCSPFI2SPFL010WZ,44153268
920,25.661,2.73,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 03:40:24,liquid natural gas,Love's,ebcjc,UMEB6FIQZTP48YKTN,51771525
928,24.9279,3.01,"43215 OH,  Columbus, 2907 SR 222 St, ",2024-10-02 11:06:54,liquefied natural gas,Sunoco,42611,R632XYEF974VX58OI,41442461
974,18.33102,3.03,"43203 OH,  Columbus, 8216 Coyote Road, ",2024-10-02 10:00:46,LNG,WalMart,hgdjg,1Q8QZ4MU2QIJNNJJK,37817416
980,46.849,3.53,"43227 OH,  Columbus, 9260 8-Mile pkwy, ",2024-10-02 12:00:56,propane,Love's,bbcdt,OF2R8BPBQW86A4H81,11118111
997,15.353,3.69,"43251 OH,  Columbus, 3548 Second pkwy, ",2024-10-02 04:36:42,gas,Marathon,egggf,GJ0RVJD0TFGB0GYYF,81111111
1001,2.5978,3.07,"43279 OH,  Columbus, 1629 Spring Grove St, ",2024-10-02 05:17:34,liquified natural gas,Sunoco,62011,OT2WGZBQPV6N7VD31,11137811
1010,52.7429,2.01,"43214 OH,  Columbus, 7393 Kellogg Ave, ",2024-10-02 11:47:54,liquefied natural gas,Marathon,ffeee,LVYR5E6XWTA2JOASW,87176551
1020,48.82,3.90,"43235 OH,  Columbus, 2208 Wayfair Parkway, ",2024-10-02 09:15:46,kerosene,Speedway,laea,K2Z6PUK36D628U4GD,12622121
1039,47.15097,3.07,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 03:46:47,kerosene,Love's,ebcjc,Q1F3L5V8DRWJL1216,11144445
1048,39.79689,2.06,"43212 OH,  Columbus, 2878 Daylight Road, ",2024-10-02 03:36:34,gas,Bucky's,awwyw,E1D4G5GN8YDFU4GF5,11131111
1050,53.188,3.40,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 07:33:58,liquefied natural gas,Bucky's,vxxwx,9SJXC3ZY26QKCDESF,12715111
1061,20.2061,3.28,"43218 OH,  Columbus, 8509 Beechmont Parkwy, ",2024-10-02 10:06:11,lng,Love's,bcdyc,84ILWX36VZQGOVR5T,11111161
1062,15.401,3.11,"43272 OH,  Columbus, 4280 Pretzel St, ",2024-10-02 06:29:53,methanol,Sunoco,12011,6COZN9NZS5IKTXU6G,38114211
1068,39.25763,2.31,"43209 OH,  Columbus, 1998 Royal Oak Lane, ",2024-10-02 08:13:08,ethanol,Sunoco,42010,OAIBIVZGNNAOBOMQ0,51111857
1098,19.4032,3.96,"43205 OH,  Columbus, 3603 Forest Creek pkwy, ",2024-10-02 12:23:22,methanol,Bucky's,bwxww,21QAUMU02D4635VWQ,11111126
1109,41.3949,3.44,"43224 OH,  Columbus, 6656 Elm Parkway, ",2024-10-02 11:25:30,propane,Speedway,anyx,UNDFIDOP6BHP65FYJ,26841112
1124,26.72,3.27,"43291 OH,  Columbus, 8605 Dutch Elm Str, ",2024-10-02 11:13:03,propane,Sunoco,22001,9OR2FA0L8OORWX4PV,18811881
1131,22.20311,3.54,"43220 OH,  Columbus, 7821 WindingWay pkwy, ",2024-10-02 08:24:55,gas,Sunoco,18200,SW3G8FX9DYFSHMZXC,71118211
1146,8.256,2.82,"43291 OH,  Columbus, 8605 Dutch Elm Str, ",2024-10-02 10:12:33,LNG,Sunoco,22001,Z5B5H1QQ9GRTAADRC,48752152
1175,32.4553,2.25,"43291 OH,  Columbus, 8605 Dutch Elm Str, ",2024-10-02 10:35:01,LNG,Sunoco,22001,4SZ1WIT7MCWH3H3JV,11711111
1179,3.84,3.22,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 04:08:09,kerosene,Bucky's,awwwy,UJ2GGHFD7XE8Q0169,26168415
1189,10.3194,2.77,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 08:32:57,biodiesel,Sunoco,12600,Z5B5H1QQ9GRTAADRC,48752152
1211,8.157,3.10,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 05:33:43,LNG,Sunoco,12600,K09NQTP1V8CWBTUDX,57213281
1225,34.83,3.32,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 11:04:44,liquefied natural gas,Marathon,geggg,V7TQVGRN15K7Z7GFL,28286611
1242,53.1732,3.21,"43215 OH,  Columbus, 6072 Second pkwy, ",2024-10-02 09:03:32,liquified natural gas,Speedway,mbma,O7RRQCTX68NGETET4,18111111
1274,29.85,3.36,"43224 OH,  Columbus, 435 Elon St, ",2024-10-02 03:29:47,liquefied natural gas,Marathon,eefgg,BG2TCJD6TT1667ZZX,82115163
1298,53.376,2.85,"43240 OH,  Columbus, 1860 SR 222 Street, ",2024-10-02 11:26:03,gas,Speedway,aaji,OXXI8U95B1MAJJ9LO,17423684
1311,40.80906,3.93,"43272 OH,  Columbus, 4280 Pretzel St, ",2024-10-02 09:08:12,ethanol,Sunoco,12011,Q3BTFV4O7BY3Y3OY2,71115111
1321,40.2443,3.03,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 07:47:52,liquid natural gas,Sunoco,12600,IT19R4PJXUD1VIBVO,51112813
1354,35.57,2.16,"43272 OH,  Columbus, 3166 8-Mile Str, ",2024-10-02 07:11:44,propane,Speedway,oafa,FHQHZABFYJPI5M383,66888112
1366,37.988,2.47,"43205 OH,  Columbus, 3603 Forest Creek pkwy, ",2024-10-02 07:04:50,gas,Bucky's,bwxww,JZEYQH2BAVM5E71CV,71113182
1393,9.716,4.04,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 11:17:19,diesel,Love's,bcdch,ILOXVSXLCUW02U25F,11181111
1416,51.5343,2.98,"43209 OH,  Columbus, 1998 Royal Oak Lane, ",2024-10-02 09:29:45,ethanol,Sunoco,42010,FUF9XQV6JTJBMQAEX,11111341
1426,27.415,2.63,"43211 OH,  Columbus, 8133 Lindenwood Parkway, ",2024-10-02 05:03:39,ethanol,Marathon,eeege,OLHOY299YSWVXI0HU,51111111
1449,26.06993,2.47,"43203 OH,  Columbus, 8216 Coyote Road, ",2024-10-02 09:21:40,LNG,WalMart,hgdjg,N1VSASQI4L6DAMH29,71456756
1495,41.64,3.00,"43209 OH,  Columbus, 155 Brandonmere Road, ",2024-10-02 06:33:19,liquid natural gas,Bucky's,jwwwx,97LVIEK78Y1CURY7T,11811611
1554,38.415,2.67,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 12:20:52,lng,Sunoco,12600,H19LIYD7AN2EXGOE2,77513754
1620,50.6485,1.98,"43215 OH,  Columbus, 6175 Stonehill St, ",2024-10-02 07:28:09,liquified natural gas,Marathon,egfff,17B4CRLOW3OF7XPEF,13413724
1629,50.165,3.66,"43201 OH,  Columbus, 233 Clifton Lane, ",2024-10-02 09:27:02,ethanol,Love's,bbccp,D26815W75UV8VAVGT,81513111
1631,23.37973,3.09,"43227 OH,  Columbus, 9462 Linderwood Ave, ",2024-10-02 12:33:36,kerosene,Marathon,efeff,VFF6HKGYWLXD9HXVB,51821111
1641,54.633,4.07,"43291 OH,  Columbus, 6335 Summit Parkway, ",2024-10-02 05:11:36,liquified natural gas,Marathon,eegfe,1CD7U8G6HCSUDITN3,71111141
1659,26.78072,2.17,"43291 OH,  Columbus, 6335 Summit Parkway, ",2024-10-02 04:11:54,liquid natural gas,Marathon,eegfe,UOZCYSBDR2S7Z3T9Y,22527183
1668,13.5,2.27,"43209 OH,  Columbus, 155 Brandonmere Road, ",2024-10-02 10:19:48,liquefied natural gas,Bucky's,jwwwx,1Q8QZ4MU2QIJNNJJK,37817416
1671,32.9494,3.54,"43271 OH,  Columbus, 4322 Loreli Lane, ",2024-10-02 10:37:10,kerosene,Love's,cbccc,WWJ7ZLBL5PWIXWNPJ,11711811
1692,37.711,3.44,"43251 OH,  Columbus, 3548 Second pkwy, ",2024-10-02 11:46:38,ethanol,Marathon,egggf,TXCOEH8CJYYHQHP0A,88281111
1701,44.92,1.98,"43203 OH,  Columbus, 8216 Coyote Road, ",2024-10-02 11:27:59,diesel,WalMart,hgdjg,9YBSPX01CVCOP2R16,51151111
1702,38.0371,3.76,"43221 OH,  Columbus, 2130 Forest Creek St, ",2024-10-02 12:15:00,lng,Love's,hbcde,F2HSU3QCVHXB9EAAV,15311183
1703,21.13,1.96,"43229 OH,  Columbus, 4686 Dutch Elm Court, ",2024-10-02 12:18:06,methanol,Marathon,egfeg,6F2NXQSIWLR4554QS,52285214
1711,15.2,1.92,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 12:02:36,gas,Sunoco,12600,0ZUTUD8W4AMQAHF5Z,11111112
1712,43.2,3.78,"43214 OH,  Columbus, 7241 Miller Road, ",2024-10-02 11:40:11,methanol,Speedway,vaia,EOLVI8JZ3GLYP3QUK,15111611
1713,54.14004,3.58,"43279 OH,  Columbus, 1629 Spring Grove St, ",2024-10-02 10:57:12,LNG,Sunoco,62011,5UVGQCZ2GA6AAQW64,13117111
1741,47.601,3.75,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 07:01:34,liquified natural gas,Sunoco,74510,CXUQELEXF1REEVV1R,16111111
1761,52.97238,3.27,"43224 OH,  Columbus, 435 Elon St, ",2024-10-02 07:58:59,liquid natural gas,Marathon,eefgg,6ZAUKHCKZI3CZZS9D,11411111
1775,49.577,2.97,"43215 OH,  Columbus, 2907 SR 222 St, ",2024-10-02 08:16:14,biodiesel,Sunoco,42611,6HGIUYJT5099NSECO,23811111
1793,35.54,1.93,"43209 OH,  Columbus, 3397 10-Mile Avenue, ",2024-10-02 03:06:17,biodiesel,Marathon,efgee,NV8T0QCXHCM98AI5N,11113111
1795,33.1,2.52,"43235 OH,  Columbus, 2208 Wayfair Parkway, ",2024-10-02 09:32:16,liquified natural gas,Speedway,laea,K44HGUB0JH3IYVE2N,75762813
1808,21.2235,3.76,"43272 OH,  Columbus, 4280 Pretzel St, ",2024-10-02 05:59:27,methanol,Sunoco,12011,XKS2RZ1UOVN90I9VP,18117111
1822,29.533,4.09,"43235 OH,  Columbus, 2208 Wayfair Parkway, ",2024-10-02 06:40:28,liquefied natural gas,Speedway,laea,PGUM7MFJIZABAESTD,87173217
1834,21.2917,2.81,"43235 OH,  Columbus, 2208 Wayfair Parkway, ",2024-10-02 04:55:07,gas,Speedway,laea,VFF6HKGYWLXD9HXVB,51821111
1864,24.2534,3.11,"43221 OH,  Columbus, 3195 Fox Str, ",2024-10-02 11:13:00,liquid natural gas,WalMart,ddkdd,IOOMDLUW65ID1JOHS,56162788
1873,12.08786,2.57,"43279 OH,  Columbus, 8636 Clifton Parkwy, ",2024-10-02 05:28:10,liquified natural gas,Love's,bcdcp,UDUKHSAUAQ4I0B41K,15325151
1906,3.3671,2.18,"43235 OH,  Columbus, 2208 Wayfair Parkway, ",2024-10-02 10:13:29,propane,Speedway,laea,ISXBIYSR3OXNRGSPE,11131111
1935,44.30297,2.65,"43206 OH,  Columbus, 5116 Beech Ave, ",2024-10-02 07:55:44,propane,Sunoco,36001,AZOIWCNHOK6CT8WAL,21171111
1937,53.614,3.68,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 05:14:44,liquid natural gas,Love's,ebcjc,UIHEK2U1P5NEFTNPG,11111131
1962,25.01,2.78,"43251 OH,  Columbus, 3099 Daylight Street, ",2024-10-02 09:57:50,methanol,Love's,kccpf,UYURLLCLP4YY11LKW,11152111
1965,26.64,3.10,"43206 OH,  Columbus, 5116 Beech Ave, ",2024-10-02 06:37:05,liquefied natural gas,Sunoco,36001,0F009TCP0PYQ0AVXU,11111121
2019,49.08,3.92,"43212 OH,  Columbus, 2878 Daylight Road, ",2024-10-02 06:39:26,liquefied natural gas,Bucky's,awwyw,FUFEQO1480KGA59E9,67154111
2040,4.035,3.31,"43211 OH,  Columbus, 8133 Lindenwood Parkway, ",2024-10-02 10:08:37,LNG,Marathon,eeege,OBJM0QH1P16MUE031,38111131
2049,39.015,2.51,"43211 OH,  Columbus, 4992 Lincoln Avenue, ",2024-10-02 11:09:49,liquid natural gas,Marathon,egfge,PVKRP43VC20XU3O5Q,14811233
2051,10.08047,4.05,"43201 OH,  Columbus, 1082 Brandonmere Str, ",2024-10-02 06:46:58,liquified natural gas,Bucky's,sxwyx,M1NQTSNQZ6YPOG8EJ,11751111
2091,19.55,3.47,"43291 OH,  Columbus, 8605 Dutch Elm Str, ",2024-10-02 09:02:32,diesel,Sunoco,22001,WGQWLUH5GLLJ5YQPO,34211138
2097,31.0998,3.68,"43215 OH,  Columbus, 6175 Stonehill St, ",2024-10-02 07:25:05,biodiesel,Marathon,egfff,1MRLDWP134PR9XL4O,31111147
2102,29.784,3.42,"43226 OH,  Columbus, 398 Cougar Avenue, ",2024-10-02 03:22:53,biodiesel,Bucky's,wywxx,6RQRC99UNBMLC3X1A,23187363
2112,9.6,3.40,"43229 OH,  Columbus, 4686 Dutch Elm Court, ",2024-10-02 11:37:14,liquified natural gas,Marathon,egfeg,29OBTV30J2QUGFYA9,71148821
2136,37.1572,2.81,"43224 OH,  Columbus, 435 Elon St, ",2024-10-02 05:11:11,kerosene,Marathon,eefgg,5WKZHU7377HZ9PG4G,34111171
2165,44.97,3.19,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 08:51:27,propane,Sunoco,74510,TT29M46WXRF41DBM5,11111141
2192,49.12012,2.66,"43251 OH,  Columbus, 6779 Cougar Parkway, ",2024-10-02 05:12:28,liquid natural gas,Love's,bbdhc,X5SSUJDNCI4YQ3MB6,37881123
2229,38.73835,2.34,"43211 OH,  Columbus, 8133 Lindenwood Parkway, ",2024-10-02 12:19:49,methanol,Marathon,eeege,6Z8BC9UJRYDJF52SE,48213111
2255,35.7682,3.48,"43232 OH,  Columbus, 334 10-Mile Ave, ",2024-10-02 03:30:37,liquid natural gas,Sunoco,47810,DLRJN7MWRQA3EEA3K,77111482
2269,14.6767,2.16,"43220 OH,  Columbus, 7821 WindingWay pkwy, ",2024-10-02 09:43:05,liquified natural gas,Sunoco,18200,K12OBKKCTF4VNBSAX,41472584
2271,31.05,3.54,"43214 OH,  Columbus, 7241 Miller Road, ",2024-10-02 11:12:01,gas,Speedway,vaia,631LFW45TAUQX611H,11253164
2340,21.02497,2.04,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 03:19:29,ethanol,Bucky's,awwwy,1YZOZT4L6EPK0U6RV,11131111
2345,48.95,2.91,"43271 OH,  Columbus, 4533 Contempo Street, ",2024-10-02 10:20:56,methanol,Bucky's,awxww,J93GQ1WWGFJBMODXY,11416331
2370,31.099,4.02,"43209 OH,  Columbus, 155 Brandonmere Road, ",2024-10-02 06:33:01,kerosene,Bucky's,jwwwx,QGS37VXAHEN2VOV7K,27551813
2415,51.57404,3.94,"43279 OH,  Columbus, 8636 Clifton Parkwy, ",2024-10-02 11:24:40,LNG,Love's,bcdcp,7OAMRJRM3VNH1J9BH,56787561
2423,3.75,3.34,"43229 OH,  Columbus, 4686 Dutch Elm Court, ",2024-10-02 06:22:25,diesel,Marathon,egfeg,XKS2RZ1UOVN90I9VP,18117111
2424,11.1583,3.83,"43229 OH,  Columbus, 4686 Dutch Elm Court, ",2024-10-02 12:05:55,methanol,Marathon,egfeg,1INSLHJ1JLEMLBTEC,11613118
2435,11.9785,2.72,"43232 OH,  Columbus, 334 10-Mile Ave, ",2024-10-02 07:08:03,diesel,Sunoco,47810,ZYT4XEJ37MHLQI9XP,21128111
2436,45.0496,3.83,"43212 OH,  Columbus, 2878 Daylight Road, ",2024-10-02 09:24:15,liquified natural gas,Bucky's,awwyw,B963XR6AJOMX8O6TM,48281541
2443,18.986,3.54,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 10:44:29,ethanol,Marathon,geggg,WGQWLUH5GLLJ5YQPO,34211138
2484,24.545,3.35,"43227 OH,  Columbus, 9462 Linderwood Ave, ",2024-10-02 08:01:22,liquid natural gas,Marathon,efeff,JN60DLCVD88OBRENR,51588618
2496,31.7,2.46,"43272 OH,  Columbus, 3166 8-Mile Str, ",2024-10-02 12:53:24,liquid natural gas,Speedway,oafa,16SQ04SBO11TBE1NI,14121865
2498,12.557,3.00,"43206 OH,  Columbus, 5116 Beech Ave, ",2024-10-02 08:28:52,methanol,Sunoco,36001,NB0G8IDASX7IC4JGZ,11147111
2499,54.29,3.22,"43218 OH,  Columbus, 6899 Royal Oak pkwy, ",2024-10-02 11:05:44,ethanol,Bucky's,awwyw,A7BU68AV6C8HRBMNS,71215734
2510,27.8567,4.00,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 09:28:33,liquid natural gas,Bucky's,awwwy,84ILWX36VZQGOVR5T,11111161
2520,38.9,2.04,"43240 OH,  Columbus, 2821 Kellogg Str, ",2024-10-02 11:07:22,liquified natural gas,Bucky's,swwyx,I17XH53M14DFAI5ED,23131675
2540,33.3,3.10,"43218 OH,  Columbus, 8509 Beechmont Parkwy, ",2024-10-02 04:29:24,gas,Love's,bcdyc,6K8Z5FNYAVQS1IB9X,31112318
2556,3.17,2.96,"43209 OH,  Columbus, 1998 Royal Oak Lane, ",2024-10-02 11:34:20,liquefied natural gas,Sunoco,42010,KECP0505333P0V3YT,11211631
2566,25.026,2.32,"43215 OH,  Columbus, 6175 Stonehill St, ",2024-10-02 09:50:30,ethanol,Marathon,egfff,00GMHVKVXKPKI9DU6,74841277
2574,30.9083,1.96,"43220 OH,  Columbus, 6263 Alabatross Ave, ",2024-10-02 04:48:28,diesel,Sunoco,46801,8A1V60IE9VMEGGK6F,51117138
2597,40.313,3.26,"43215 OH,  Columbus, 9430 Pennsylvania Ave, ",2024-10-02 05:01:38,biodiesel,Marathon,egegg,477MFK2O1WS8WJLA4,61111115
2671,2.88259,2.76,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 11:24:47,propane,Marathon,geggg,JZIXG4SMHZDNIXDOT,11513111
2676,49.52838,2.46,"43279 OH,  Columbus, 8636 Clifton Parkwy, ",2024-10-02 11:47:17,liquified natural gas,Love's,bcdcp,AZOIWCNHOK6CT8WAL,21171111
2677,52.326,3.07,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 08:56:52,LNG,Flying J,22345,4YPVKS0ETI1KBRD6W,81131111
2700,36.11317,3.56,"43224 OH,  Columbus, 435 Elon St, ",2024-10-02 08:50:17,liquefied natural gas,Marathon,eefgg,0Q83G45UQ0GLQDYX8,17111118
2721,30.563,2.67,"43220 OH,  Columbus, 7821 WindingWay pkwy, ",2024-10-02 08:48:56,kerosene,Sunoco,18200,F9Q9B72AH4A6Z5GXK,11111115
2723,10.3028,3.88,"43224 OH,  Columbus, 6656 Elm Parkway, ",2024-10-02 03:03:53,liquid natural gas,Speedway,anyx,3FBFLMI1EWFIBQ8XA,18781181
2762,14.35,2.34,"43240 OH,  Columbus, 1860 SR 222 Street, ",2024-10-02 07:31:10,kerosene,Speedway,aaji,WZ26MJNXMYAHSFJ3B,31215171
2784,41.5227,2.90,"43202 OH,  Columbus, 972 Alabatross Court, ",2024-10-02 08:01:33,propane,Bucky's,bwwww,6ZAUKHCKZI3CZZS9D,11411111
2789,25.47,2.49,"43221 OH,  Columbus, 2130 Forest Creek St, ",2024-10-02 05:21:13,LNG,Love's,hbcde,JBCIW7W1VNP444PBM,11111151
